Sourec airport IATA,Soure airport ID,Source Country,Source City,Cource airport name,Source Lat,Source Long,source timezone,source DST,Destination Airport IATA,Destination Airport ID,Destination Country,Destination city,Desitination Airport name,Destination Lat,Destination Long,Destination timezone,Destination DST,Distance
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,BKK,3885,Thailand,Bangkok,Suvarnabhumi Airport,13.68109989,100.7470016,7,U,3668.677126
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,CTS,2287,Japan,Sapporo,New Chitose Airport,42.77519989,141.6920013,9,U,1421.127685
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,FUK,2305,Japan,Fukuoka,Fukuoka Airport,33.58589935,130.451004,9,U,563.3190318
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,HSG,5996,Japan,Saga,Saga Airport,33.14970016,130.302002,9,N,593.8277799
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,TNA,4108,China,Jinan,Yaoqiang Airport,36.85720062,117.2160034,8,U,820.8337364
TAE,2381,South Korea,Taegu,Daegu Airport,35.896872,128.65531,9,U,CJU,2370,South Korea,Cheju,Jeju International Airport,33.51129913,126.4929962,9,U,330.788495
TNA,4108,China,Jinan,Yaoqiang Airport,36.85720062,117.2160034,8,U,ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,820.8337364
TSA,2275,Taiwan,Taipei,Taipei Songshan Airport,25.06940079,121.552002,8,U,GMP,2378,South Korea,Seoul,Gimpo International Airport,37.5583,126.791,9,U,1474.472611
BKK,3885,Thailand,Bangkok,Suvarnabhumi Airport,13.68109989,100.7470016,7,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,1416.903566
HKG,3077,Hong Kong,Hong Kong,Hong Kong International Airport,22.308901,113.915001,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,2565.575778
ICN,3930,South Korea,Seoul,Incheon International Airport,37.46910095,126.4509964,9,U,TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,1463.679046
NKG,3388,China,Nanjing,Nanjing Lukou Airport,31.74200058,118.8619995,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,3722.31147
NRT,2279,Japan,Tokyo,Narita International Airport,35.76470184,140.3860016,9,U,TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,2181.019857
SHE,4144,China,Shenyang,Taoxian Airport,41.63980103,123.4830017,8,U,TAO,3390,China,Qingdao,Liuting Airport,36.26610184,120.3740005,8,U,655.0968211
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,BKK,3885,Thailand,Bangkok,Suvarnabhumi Airport,13.68109989,100.7470016,7,U,1416.903566
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,HKG,3077,Hong Kong,Hong Kong,Hong Kong International Airport,22.308901,113.915001,8,U,2565.575778
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,NKG,3388,China,Nanjing,Nanjing Lukou Airport,31.74200058,118.8619995,8,U,3722.31147
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,TAO,3390,China,Qingdao,Liuting Airport,36.26610184,120.3740005,8,U,4232.992407
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,TPE,2276,Taiwan,Taipei,Taiwan Taoyuan International Airport,25.0777,121.233002,8,U,3222.382884
SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,TSN,3368,China,Tianjin,Tianjin Binhai International Airport,39.12440109,117.3460007,8,U,4413.764704
TAO,3390,China,Qingdao,Liuting Airport,36.26610184,120.3740005,8,U,SHE,4144,China,Shenyang,Taoxian Airport,41.63980103,123.4830017,8,U,655.0968211
TAO,3390,China,Qingdao,Liuting Airport,36.26610184,120.3740005,8,U,SIN,3316,Singapore,Singapore,Singapore Changi Airport,1.35019,103.994003,8,N,4232.992407
